health status index         uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   subscriptions gSqw-JTNR3aULO54okA0ww   1   0          0            0       283b           283b
green  open   books         cpQ0KWazTbOWZ3L1G-8exA 100   0   32423000            0     45.8gb         45.8gb


2019-07-01 20:26:13,132 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,132][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [repository-url]
2019-07-01 20:26:13,132 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,132][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [transport-netty4]
2019-07-01 20:26:13,133 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,133][INFO ][o.e.p.PluginsService     ] [rally-node-0] no plugins loaded
2019-07-01 20:26:16,549 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:16,549][INFO ][o.e.d.DiscoveryModule    ] [rally-node-0] using discovery type [zen] and seed hosts providers [settings]
2019-07-01 20:26:17,272 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:17,272][INFO ][o.e.n.Node               ] [rally-node-0] initialized
2019-07-01 20:26:17,273 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:17,273][INFO ][o.e.n.Node               ] [rally-node-0] starting ...
2019-07-01 20:26:17,486 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:17,485][INFO ][o.e.t.TransportService   ] [rally-node-0] publish_address {127.0.0.1:39300}, bound_addresses {127.0.0.1:39300}
2019-07-01 20:26:17,499 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:17,498][WARN ][o.e.b.BootstrapChecks    ] [rally-node-0] max virtual memory areas vm.max_map_count [65530] is too low, increase to at least [262144]
2019-07-01 20:26:17,516 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:17,516][INFO ][o.e.c.c.Coordinator      ] [rally-node-0] setting initial configuration to VotingConfiguration{koJwdKF-T6K_vNLQqoQpGg}
2019-07-01 20:26:17,652 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:17,649][INFO ][o.e.c.s.MasterService    ] [rally-node-0] elected-as-master ([1] nodes joined)[{rally-node-0}{koJwdKF-T6K_vNLQqoQpGg}{kl--V9l7ReKIotnJynufLg}{127.0.0.1}{127.0.0.1:39300} elect leader, _BECOME_MASTER_TASK_, _FINISH_ELECTION_], term: 1, version: 1, reason: master node changed {previous [], current [{rally-node-0}{koJwdKF-T6K_vNLQqoQpGg}{kl--V9l7ReKIotnJynufLg}{127.0.0.1}{127.0.0.1:39300}]}
2019-07-01 20:26:17,692 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:17,691][INFO ][o.e.c.s.ClusterApplierService] [rally-node-0] master node changed {previous [], current [{rally-node-0}{koJwdKF-T6K_vNLQqoQpGg}{kl--V9l7ReKIotnJynufLg}{127.0.0.1}{127.0.0.1:39300}]}, term: 1, version: 1, reason: Publication{term=1, version=1}
2019-07-01 20:26:17,722 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:17,721][INFO ][o.e.h.AbstractHttpServerTransport] [rally-node-0] publish_address {127.0.0.1:39200}, bound_addresses {127.0.0.1:39200}
2019-07-01 20:26:17,722 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:17,721][INFO ][o.e.g.GatewayService     ] [rally-node-0] recovered [0] indices into cluster_state
2019-07-01 20:26:17,723 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:17,723][INFO ][o.e.n.Node               ] [rally-node-0] started
2019-07-01 20:26:17,723 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO [rally-node-0] has successfully started.
2019-07-01 20:26:17,723 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO Started node [rally-node-0] with PID [31293].
2019-07-01 20:26:17,724 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO Attaching telemetry devices to node [rally-node-0].
2019-07-01 20:26:18,979 ActorAddr-(T|:38857)/PID:30791 esrally.client INFO SSL support: off
2019-07-01 20:26:18,979 ActorAddr-(T|:38857)/PID:30791 esrally.client INFO HTTP basic authentication: off
2019-07-01 20:26:18,980 ActorAddr-(T|:38857)/PID:30791 esrally.client INFO HTTP compression: off
2019-07-01 20:26:18,981 ActorAddr-(T|:38857)/PID:30791 esrally.mechanic.launcher INFO All cluster nodes have successfully started. Checking if REST API is available.
2019-07-01 20:26:19,107 ActorAddr-(T|:38857)/PID:30791 esrally.mechanic.launcher INFO REST API is available. Attaching telemetry devices to cluster.
2019-07-01 20:26:19,169 ActorAddr-(T|:38857)/PID:30791 esrally.mechanic.launcher INFO Telemetry devices are now attached to the cluster.
2019-07-01 20:26:19,170 ActorAddr-(T|:38857)/PID:30791 esrally.actor INFO Transitioning from [nodes_started] to [apply_meta_info].
2019-07-01 20:26:19,179 ActorAddr-(T|:46245)/PID:30790 esrally.actor INFO Mechanic has started engine successfully.
2019-07-01 20:26:19,179 ActorAddr-(T|:46245)/PID:30790 esrally.racecontrol INFO Starting lap [1/1]
2019-07-01 20:26:19,179 ActorAddr-(T|:46245)/PID:30790 esrally.actor INFO Telling mechanic of benchmark start.
2019-07-01 20:26:19,186 ActorAddr-(T|:38857)/PID:30791 esrally.actor INFO Transitioning from [cluster_started] to [benchmark_starting].
2019-07-01 20:26:19,180 ActorAddr-(T|:46245)/PID:30790 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 7, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1562012485305'}] match requirements [{'coordinator': True}].
2019-07-01 20:26:19,187 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.telemetry INFO Using more accurate process-based I/O counters.
2019-07-01 20:26:19,182 ActorAddr-(T|:46245)/PID:30790 esrally.actor INFO Telling driver to start benchmark.
2019-07-01 20:26:19,199 ActorAddr-(T|:37451)/PID:31407 esrally.metrics INFO Creating in-memory metrics store
2019-07-01 20:26:19,201 ActorAddr-(T|:37451)/PID:31407 esrally.metrics INFO Opening metrics store for trial timestamp=[20190701T202125Z], track=[track], challenge=[field-update-then-index], car=[['8gheap']]
2019-07-01 20:26:19,201 ActorAddr-(T|:37451)/PID:31407 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 7, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1562012485305'}] match requirements [{'coordinator': True}].
2019-07-01 20:26:19,207 ActorAddr-(T|:38857)/PID:30791 esrally.mechanic.telemetry WARNING Could not determine value at path [merges,total_time_in_millis]. Returning default value [None]
2019-07-01 20:26:19,208 ActorAddr-(T|:38857)/PID:30791 esrally.mechanic.telemetry WARNING Could not determine value at path [merges,total_throttled_time_in_millis]. Returning default value [None]
2019-07-01 20:26:19,210 ActorAddr-(T|:46245)/PID:30790 esrally.actor INFO BenchmarkActor received unknown message [<esrally.mechanic.mechanic.BenchmarkStarted object at 0x7fd95a0eec88>] (ignoring).
2019-07-01 20:26:19,208 ActorAddr-(T|:38857)/PID:30791 esrally.mechanic.telemetry WARNING Could not determine value at path [indexing,index_time_in_millis]. Returning default value [None]
2019-07-01 20:26:19,208 ActorAddr-(T|:38857)/PID:30791 esrally.mechanic.telemetry WARNING Could not determine value at path [indexing,throttle_time_in_millis]. Returning default value [None]
2019-07-01 20:26:19,209 ActorAddr-(T|:38857)/PID:30791 esrally.mechanic.telemetry WARNING Could not determine value at path [refresh,total_time_in_millis]. Returning default value [None]
2019-07-01 20:26:19,209 ActorAddr-(T|:38857)/PID:30791 esrally.mechanic.telemetry WARNING Could not determine value at path [flush,total_time_in_millis]. Returning default value [None]
2019-07-01 20:26:19,220 ActorAddr-(T|:44435)/PID:31409 esrally.actor INFO Preparing track [track]
2019-07-01 20:26:19,222 ActorAddr-(T|:44435)/PID:31409 esrally.utils.modules INFO Loading component [field_update] from [/home/ubuntu/field_update]
2019-07-01 20:26:19,325 ActorAddr-(T|:37451)/PID:31407 esrally.driver.driver INFO Benchmark is about to start.
2019-07-01 20:26:19,326 ActorAddr-(T|:37451)/PID:31407 esrally.driver.driver INFO Benchmark consists of [10] steps executed by (at most) [2] clients as specified by the allocation matrix:
