2019-09-22 21:47:26,782 ActorAddr-(T|:33513)/PID:29948 esrally.mechanic.telemetry WARNING Could not determine value at path [refresh,total_time_in_millis]. Returning default value [None]
2019-09-22 21:47:26,782 ActorAddr-(T|:33513)/PID:29948 esrally.mechanic.telemetry WARNING Could not determine value at path [flush,total_time_in_millis]. Returning default value [None]
2019-09-22 21:47:26,790 ActorAddr-(T|:36095)/PID:30397 esrally.metrics INFO Creating in-memory metrics store
2019-09-22 21:47:26,791 ActorAddr-(T|:36095)/PID:30397 esrally.metrics INFO Opening metrics store for trial timestamp=[20190922T214512Z], track=[track], challenge=[field-update-then-index], car=[['4gheap']]
2019-09-22 21:47:26,791 ActorAddr-(T|:36095)/PID:30397 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 8, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1569188712859'}] match requirements [{'coordinator': True}].
2019-09-22 21:47:26,879 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO Benchmark is about to start.
2019-09-22 21:47:26,801 ActorAddr-(T|:46031)/PID:30398 esrally.actor INFO Preparing track [track]
2019-09-22 21:47:26,802 ActorAddr-(T|:46031)/PID:30398 esrally.utils.modules INFO Loading component [field_update] from [/home/ubuntu/elastic-dv-inplace-update-benchmark/field_update]
2019-09-22 21:47:26,879 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO Benchmark consists of [10] steps executed by (at most) [2] clients as specified by the allocation matrix:
[[JoinPoint(0), TaskAllocation [0/1] for delete-index, JoinPoint(1), TaskAllocation [0/1] for create-index, JoinPoint(2), TaskAllocation [0/1] for make subs, JoinPoint(3), TaskAllocation [0/1] for insert books, JoinPoint(4), TaskAllocation [0/1] for insert subs, JoinPoint(5), TaskAllocation [0/1] for force-merge, JoinPoint(6), TaskAllocation [0/1] for filter by DV, JoinPoint(7), TaskAllocation [0/1] for warming filter by term lookup, JoinPoint(8), TaskAllocation [0/1] for filter by term lookup, JoinPoint(9), TaskAllocation [0/1] for filter by field, JoinPoint(10)], [JoinPoint(0), None, JoinPoint(1), None, JoinPoint(2), None, JoinPoint(3), None, JoinPoint(4), None, JoinPoint(5), None, JoinPoint(6), TaskAllocation [0/1] for update dv in-place, JoinPoint(7), None, JoinPoint(8), TaskAllocation [0/1] for update term lookup, JoinPoint(9), TaskAllocation [0/1] for update field, JoinPoint(10)]]
2019-09-22 21:47:26,880 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO Allocating load generator [0] on [localhost]
2019-09-22 21:47:26,880 ActorAddr-(T|:36095)/PID:30397 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 8, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1569188712859'}] match requirements [{'coordinator': True}].
